cell_id,n,p50_ms,p95_ms,failed,invalid
S1/SF1/direct,1,2.651114,2.651114,0,0
S1/SF1/idempotent_replay,1,25.893067,25.893067,0,0
S1/SF1/normalized_rewrite_replay,1,89.753710,89.753710,0,0
S1/SF1/novel,1,174.054726,174.054726,0,0
S1/SF1/semantic_replay,1,81.968022,81.968022,0,0
S1/SF10/direct,1,12.338671,12.338671,0,0
S1/SF10/idempotent_replay,1,44.376874,44.376874,0,0
S1/SF10/normalized_rewrite_replay,1,126.225384,126.225384,0,0
S1/SF10/novel,1,769.803902,769.803902,0,0
S1/SF10/semantic_replay,1,121.470886,121.470886,0,0
S2/SF1/direct,1,11.674392,11.674392,0,0
S2/SF1/idempotent_replay,1,21.833223,21.833223,0,0
S2/SF1/normalized_rewrite_replay,1,82.236683,82.236683,0,0
S2/SF1/novel,1,483.961172,483.961172,0,0
S2/SF1/semantic_replay,1,83.071765,83.071765,0,0
S2/SF10/direct,1,24.934944,24.934944,0,0
S2/SF10/idempotent_replay,1,22.883933,22.883933,0,0
S2/SF10/normalized_rewrite_replay,1,85.061073,85.061073,0,0
S2/SF10/novel,1,3272.625619,3272.625619,0,0
S2/SF10/semantic_replay,1,78.795183,78.795183,0,0
S3/10k-50k/direct,1,2.497653,2.497653,0,0
S3/10k-50k/idempotent_replay,1,25.150984,25.150984,0,0
S3/10k-50k/normalized_rewrite_replay,1,84.558641,84.558641,0,0
S3/10k-50k/novel,1,237.580681,237.580681,0,0
S3/10k-50k/semantic_replay,1,83.383121,83.383121,0,0
S3/1k-5k/direct,1,0.614701,0.614701,0,0
S3/1k-5k/idempotent_replay,1,22.066142,22.066142,0,0
S3/1k-5k/normalized_rewrite_replay,1,77.984133,77.984133,0,0
S3/1k-5k/novel,1,121.743283,121.743283,0,0
S3/1k-5k/semantic_replay,1,76.877278,76.877278,0,0
S3/45k-225k/direct,1,7.254681,7.254681,0,0
S3/45k-225k/idempotent_replay,1,39.285932,39.285932,0,0
S3/45k-225k/normalized_rewrite_replay,1,107.270404,107.270404,0,0
S3/45k-225k/novel,1,580.447415,580.447415,0,0
S3/45k-225k/semantic_replay,1,105.707365,105.707365,0,0
S5/SF1/direct,1,4.475935,4.475935,0,0
S5/SF1/idempotent_replay,1,25.150181,25.150181,0,0
S5/SF1/novel,1,308.857815,308.857815,0,0
S5/SF1/semantic_replay,1,91.072465,91.072465,0,0
S5/SF10/direct,1,17.589600,17.589600,0,0
S5/SF10/idempotent_replay,1,42.755720,42.755720,0,0
S5/SF10/novel,1,1744.278138,1744.278138,0,0
S5/SF10/semantic_replay,1,128.239801,128.239801,0,0
S6/100k-x16/direct,1,137.302781,137.302781,0,0
S6/100k-x16/novel,1,16976.273708,16976.273708,0,0
S6/100k-x4/direct,1,38.233909,38.233909,0,0
S6/100k-x4/novel,1,4033.319195,4033.319195,0,0
S6/100x16/direct,1,0.665200,0.665200,0,0
S6/100x16/novel,1,137.074541,137.074541,0,0
S6/100x4/direct,1,0.480451,0.480451,0,0
S6/100x4/novel,1,100.319283,100.319283,0,0
S6/10k-x16/direct,1,13.483472,13.483472,0,0
S6/10k-x16/novel,1,1737.331363,1737.331363,0,0
S6/10k-x4/direct,1,4.982133,4.982133,0,0
S6/10k-x4/novel,1,377.614400,377.614400,0,0
