order_position,sample_id,cell_id,warmup,sample_status,error_code,task_count,submission_count,submission_sum_ms,submission_max_ms,submission_timeouts,activation_count,activation_sum_ms,activation_max_ms,activation_timeouts,observed_at
1,deployment-01-r001-p01-warmup-0001,shared-root/10/natural_contention,true,warmup_unretained,,11,11,1132.527000,103.673000,0,11,1136.922000,108.173000,0,2026-08-20T08:01:20.19477253Z
2,deployment-01-r001-p01-warmup-0002,shared-root/10/forced_queue_safety,true,warmup_unretained,,11,11,1140.775000,104.535000,0,11,1138.757000,104.371000,0,2026-08-20T08:01:24.122106889Z
3,deployment-01-r001-p01-warmup-0003,shared-root/50/natural_contention,true,warmup_unretained,,51,51,5372.589000,205.465000,0,51,5380.411000,206.483000,0,2026-08-20T08:01:38.040247412Z
4,deployment-01-r001-p01-warmup-0004,shared-root/50/forced_queue_safety,true,warmup_unretained,,51,51,5230.560000,105.355000,0,51,5433.847000,305.794000,0,2026-08-20T08:01:56.244132671Z
5,deployment-01-r001-p01-warmup-0005,serial-control/1/serial,true,warmup_unretained,,2,2,204.826000,102.418000,0,2,204.952000,102.607000,0,2026-08-20T08:02:02.104623724Z
6,deployment-01-r001-p01-warmup-0006,shared-root/500/forced_queue_safety,true,warmup_unretained,,501,501,51741.217000,407.275000,0,501,51929.101000,305.557000,0,2026-08-20T08:03:54.01035825Z
7,deployment-01-r001-p01-warmup-0007,shared-root/500/natural_contention,true,warmup_unretained,,501,501,51438.289000,105.121000,0,501,51647.255000,204.285000,0,2026-08-20T08:10:05.633039415Z
8,deployment-01-r001-p01-warmup-0008,shared-root/100/forced_queue_safety,true,warmup_unretained,,101,101,10365.014000,104.154000,0,101,10355.731000,103.818000,0,2026-08-20T08:14:50.512777839Z
9,deployment-01-r001-p01-warmup-0009,shared-root/100/natural_contention,true,warmup_unretained,,101,101,10372.330000,103.952000,0,101,10477.982000,203.798000,0,2026-08-20T08:15:27.892724214Z
10,deployment-01-r001-p01-warmup-0010,shared-root/50/forced_queue_safety,true,warmup_unretained,,51,51,5251.125000,105.884000,0,51,5253.537000,105.349000,0,2026-08-20T08:15:53.898180961Z
11,deployment-01-r001-p01-warmup-0011,shared-root/50/natural_contention,true,warmup_unretained,,51,51,5236.162000,104.013000,0,51,5235.893000,105.878000,0,2026-08-20T08:16:11.177787282Z
12,deployment-01-r001-p01-warmup-0012,shared-root/100/forced_queue_safety,true,warmup_unretained,,101,101,10380.162000,104.859000,0,101,10388.904000,105.719000,0,2026-08-20T08:16:39.065458788Z
13,deployment-01-r001-p01-warmup-0013,shared-root/100/natural_contention,true,warmup_unretained,,101,101,10365.525000,104.219000,0,101,10370.825000,104.810000,0,2026-08-20T08:17:16.800007005Z
14,deployment-01-r001-p01-warmup-0014,serial-control/1/serial,true,warmup_unretained,,2,2,205.735000,103.621000,0,2,204.645000,102.467000,0,2026-08-20T08:17:33.01600332Z
15,deployment-01-r001-p01-warmup-0015,shared-root/500/natural_contention,true,warmup_unretained,,501,501,51464.185000,105.061000,0,501,51597.673000,204.943000,0,2026-08-20T08:19:22.840087006Z
16,deployment-01-r001-p01-warmup-0016,shared-root/500/forced_queue_safety,true,warmup_unretained,,501,501,51449.161000,105.317000,0,501,51476.617000,105.327000,0,2026-08-20T08:25:33.367042234Z
17,deployment-01-r001-p01-warmup-0017,shared-root/10/forced_queue_safety,true,warmup_unretained,,11,11,1126.673000,103.078000,0,11,1132.573000,104.601000,0,2026-08-20T08:29:57.723769251Z
18,deployment-01-r001-p01-warmup-0018,shared-root/10/natural_contention,true,warmup_unretained,,11,11,1127.037000,102.866000,0,11,1134.024000,105.438000,0,2026-08-20T08:30:01.415519833Z
19,deployment-01-r001-p01-warmup-0019,shared-root/100/natural_contention,true,warmup_unretained,,101,101,10371.463000,105.601000,0,101,10367.907000,104.125000,0,2026-08-20T08:30:24.651992802Z
20,deployment-01-r001-p01-warmup-0020,shared-root/100/forced_queue_safety,true,warmup_unretained,,101,101,10370.983000,104.954000,0,101,10377.523000,104.163000,0,2026-08-20T08:31:02.941981159Z
21,deployment-01-r001-p01-warmup-0021,shared-root/10/natural_contention,true,warmup_unretained,,11,11,1129.742000,103.129000,0,11,1132.196000,104.268000,0,2026-08-20T08:31:22.04654145Z
22,deployment-01-r001-p01-warmup-0022,shared-root/10/forced_queue_safety,true,warmup_unretained,,11,11,1129.416000,103.352000,0,11,1130.582000,103.315000,0,2026-08-20T08:31:25.770426797Z
23,deployment-01-r001-p01-warmup-0023,shared-root/500/natural_contention,true,warmup_unretained,,501,501,51406.716000,104.854000,0,501,51542.381000,204.737000,0,2026-08-20T08:33:16.52295596Z
24,deployment-01-r001-p01-warmup-0024,shared-root/500/forced_queue_safety,true,warmup_unretained,,501,501,51441.551000,104.856000,0,501,51749.527000,204.462000,0,2026-08-20T08:39:41.855715782Z
25,deployment-01-r001-p01-warmup-0025,shared-root/50/natural_contention,true,warmup_unretained,,51,51,5237.700000,104.588000,0,51,5234.454000,104.243000,0,2026-08-20T08:44:26.169685061Z
