sequence,observed_at,business.blks_hit,business.blks_read,business.concurrency_detail_bytes,business.concurrency_detail_rows,business.expense_detail_bytes,business.expense_detail_rows,business.table.expense_detail.idx_scans,business.table.expense_detail.idx_tuples_fetched,business.table.expense_detail.live_tuples,business.table.expense_detail.seq_scans,business.table.expense_detail.seq_tuples_read,business.table.final_v5_concurrency_expense_detail.idx_scans,business.table.final_v5_concurrency_expense_detail.idx_tuples_fetched,business.table.final_v5_concurrency_expense_detail.live_tuples,business.table.final_v5_concurrency_expense_detail.seq_scans,business.table.final_v5_concurrency_expense_detail.seq_tuples_read,business.temp_bytes,business.xact_commit,control.activity_active,control.activity_audit_lock_waiters,control.activity_lock_waiters,control.activity_task_lock_waiters,control.approval_events,control.approval_events_bytes,control.audit_events,control.audit_events_bytes,control.audit_head_sequence,control.blks_hit,control.blks_read,control.callback_idempotency,control.callback_idempotency_bytes,control.deadlocks,control.locks_waiting,control.table.approval_events.idx_scans,control.table.approval_events.idx_tuples_fetched,control.table.approval_events.live_tuples,control.table.approval_events.seq_scans,control.table.approval_events.seq_tuples_read,control.table.audit_events.idx_scans,control.table.audit_events.idx_tuples_fetched,control.table.audit_events.live_tuples,control.table.audit_events.seq_scans,control.table.audit_events.seq_tuples_read,control.table.callback_idempotency.idx_scans,control.table.callback_idempotency.idx_tuples_fetched,control.table.callback_idempotency.live_tuples,control.table.callback_idempotency.seq_scans,control.table.callback_idempotency.seq_tuples_read,control.table.task_grants.idx_scans,control.table.task_grants.idx_tuples_fetched,control.table.task_grants.live_tuples,control.table.task_grants.seq_scans,control.table.task_grants.seq_tuples_read,control.table.tasks.idx_scans,control.table.tasks.idx_tuples_fetched,control.table.tasks.live_tuples,control.table.tasks.seq_scans,control.table.tasks.seq_tuples_read,control.task_grants,control.task_grants_bytes,control.tasks,control.tasks_active,control.tasks_archived,control.tasks_awaiting_approval,control.tasks_awaiting_submission,control.tasks_bytes,control.temp_bytes,control.xact_commit,control.xact_rollback,oa.drafts_inferred_control_task_lower_bound,oa.process_rss_bytes,oa.process_threads,oa.process_virtual_bytes
1,2026-08-20T08:01:15.412310653Z,8963291.000000,64283.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,4.000000,40.000000,176991584.000000,250.000000,1.000000,0.000000,0.000000,0.000000,0.000000,24576.000000,2.000000,98304.000000,2.000000,75361.000000,367.000000,0.000000,16384.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,5.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1.000000,0.000000,0.000000,10.000000,0.000000,0.000000,16384.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40960.000000,0.000000,128.000000,0.000000,0.000000,10391552.000000,9.000000,1870696448.000000
2,2026-08-20T08:01:45.42921027Z,8983229.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,160.000000,1600.000000,176991584.000000,817.000000,1.000000,0.000000,0.000000,0.000000,151.000000,319488.000000,712.000000,1163264.000000,712.000000,345796.000000,503.000000,151.000000,90112.000000,0.000000,0.000000,0.000000,0.000000,155.000000,4.000000,151.000000,638.000000,22411.000000,695.000000,401.000000,200258.000000,292.000000,73.000000,155.000000,150.000000,16138.000000,811.000000,811.000000,73.000000,12.000000,75.000000,2537.000000,2532.000000,77.000000,18.000000,433.000000,75.000000,278528.000000,76.000000,75.000000,0.000000,1.000000,0.000000,327680.000000,0.000000,7127.000000,82.000000,76.000000,16826368.000000,15.000000,2326196224.000000
3,2026-08-20T08:02:15.395842143Z,8995757.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,289.000000,2890.000000,176991584.000000,1398.000000,1.000000,0.000000,0.000000,0.000000,362.000000,704512.000000,1376.000000,2080768.000000,1376.000000,540573.000000,503.000000,362.000000,172032.000000,0.000000,0.000000,0.000000,0.000000,365.000000,5.000000,513.000000,1120.000000,44666.000000,1383.000000,696.000000,540682.000000,597.000000,121.000000,365.000000,477.000000,93346.000000,1657.000000,1657.000000,178.000000,13.000000,256.000000,5524.000000,5519.000000,183.000000,25.000000,1552.000000,181.000000,573440.000000,181.000000,181.000000,0.000000,0.000000,0.000000,745472.000000,0.000000,13776.000000,150.000000,181.000000,17076224.000000,15.000000,2326196224.000000
4,2026-08-20T08:02:45.427536987Z,9003184.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,290.000000,2900.000000,176991584.000000,1824.000000,1.000000,0.000000,0.000000,0.000000,628.000000,1122304.000000,1775.000000,2441216.000000,1775.000000,589106.000000,503.000000,628.000000,221184.000000,0.000000,0.000000,0.000000,0.000000,627.000000,6.000000,1141.000000,1121.000000,45045.000000,1773.000000,696.000000,540682.000000,1274.000000,326.000000,627.000000,601.000000,145638.000000,2195.000000,2195.000000,313.000000,14.000000,570.000000,8195.000000,8436.000000,313.000000,28.000000,2316.000000,314.000000,892928.000000,314.000000,314.000000,0.000000,0.000000,0.000000,1122304.000000,0.000000,17715.000000,150.000000,314.000000,17723392.000000,17.000000,2477461504.000000
5,2026-08-20T08:03:15.397458305Z,9010466.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,291.000000,2910.000000,176991584.000000,2246.000000,1.000000,0.000000,0.000000,0.000000,901.000000,1581056.000000,2185.000000,2875392.000000,2185.000000,630813.000000,503.000000,901.000000,311296.000000,0.000000,0.000000,0.000000,0.000000,902.000000,7.000000,2042.000000,1122.000000,45999.000000,2185.000000,696.000000,540682.000000,2099.000000,601.000000,902.000000,602.000000,146539.000000,2740.000000,2740.000000,451.000000,15.000000,1020.000000,10950.000000,11575.000000,450.000000,31.000000,3486.000000,450.000000,1245184.000000,451.000000,450.000000,0.000000,1.000000,0.000000,1564672.000000,0.000000,21723.000000,150.000000,451.000000,18862080.000000,17.000000,2477461504.000000
6,2026-08-20T08:03:45.427083179Z,9017740.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,292.000000,2920.000000,176991584.000000,2663.000000,1.000000,0.000000,0.000000,0.000000,1176.000000,2007040.000000,2597.000000,3334144.000000,2597.000000,680333.000000,511.000000,1176.000000,360448.000000,0.000000,0.000000,0.000000,0.000000,1175.000000,8.000000,3218.000000,1122.000000,45999.000000,2596.000000,697.000000,543279.000000,2915.000000,873.000000,1176.000000,603.000000,147715.000000,3286.000000,3286.000000,587.000000,16.000000,1608.000000,13675.000000,15084.000000,587.000000,33.000000,4478.000000,588.000000,1581056.000000,588.000000,588.000000,0.000000,0.000000,0.000000,1826816.000000,0.000000,25710.000000,150.000000,588.000000,20824064.000000,18.000000,2553487360.000000
7,2026-08-20T08:04:15.398021982Z,9071848.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1259.000000,12590.000000,176991584.000000,4747.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2129920.000000,5732.000000,7987200.000000,5732.000000,1369141.000000,511.000000,1254.000000,385024.000000,0.000000,0.000000,0.000000,0.000000,1259.000000,9.000000,4472.000000,2259.000000,72227.000000,5694.000000,763.000000,876501.000000,3167.000000,957.000000,1260.000000,604.000000,148969.000000,6940.000000,6940.000000,629.000000,17.000000,2235.000000,21000.000000,23466.000000,629.000000,35.000000,5704.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,38366.000000,656.000000,627.000000,20611072.000000,18.000000,2553487360.000000
8,2026-08-20T08:04:45.425970007Z,9074398.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1300.000000,13000.000000,176991584.000000,4841.000000,2.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,1759236.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,1.000000,0.000000,1254.000000,9.000000,4472.000000,2737.000000,349651.000000,5732.000000,1053.000000,2538781.000000,3167.000000,957.000000,1254.000000,605.000000,150223.000000,6982.000000,6982.000000,627.000000,18.000000,2862.000000,21149.000000,23862.000000,627.000000,37.000000,6958.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,40697.000000,662.000000,627.000000,19742720.000000,18.000000,2553487360.000000
9,2026-08-20T08:05:15.397101543Z,9074736.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1301.000000,13010.000000,176991584.000000,4854.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,2126559.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,2.000000,0.000000,1254.000000,9.000000,4472.000000,3098.000000,623907.000000,5732.000000,1353.000000,4258381.000000,3167.000000,957.000000,1254.000000,606.000000,151477.000000,6982.000000,6982.000000,627.000000,19.000000,3489.000000,21216.000000,24676.000000,627.000000,39.000000,8212.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,42883.000000,662.000000,627.000000,19742720.000000,18.000000,2553487360.000000
10,2026-08-20T08:05:45.424619983Z,9075168.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1302.000000,13020.000000,176991584.000000,4869.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,2503319.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,3.000000,0.000000,1254.000000,9.000000,4472.000000,3463.000000,905950.000000,5732.000000,1658.000000,6006641.000000,3167.000000,957.000000,1254.000000,607.000000,152731.000000,6982.000000,6982.000000,627.000000,20.000000,4116.000000,21286.000000,26991.000000,627.000000,39.000000,8212.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,45104.000000,662.000000,627.000000,19693568.000000,18.000000,2553487360.000000
