order_position,sample_id,cell_id,warmup,callback_records,final_errors,callback_claim_count,callback_claim_sum_ms,callback_claim_max_ms,callback_claim_errors,callback_claim_in_flight_max_ms,task_row_lock_count,task_row_lock_sum_ms,task_row_lock_max_ms,task_row_lock_errors,task_row_lock_in_flight_max_ms,audit_chain_head_count,audit_chain_head_sum_ms,audit_chain_head_max_ms,audit_chain_head_errors,audit_chain_head_in_flight_max_ms,commit_count,commit_sum_ms,commit_max_ms,commit_errors,commit_in_flight_max_ms,in_flight_records,in_flight_tasks,in_flight_max_age_ms,in_flight_current_phase,observed_at
1,deployment-01-r001-p01-warmup-0001,shared-root/10/natural_contention,true,11,0,11,2.227314,0.373041,0,0.000000,11,2.202655,0.334039,0,0.000000,11,1.328958,0.347944,0,0.000000,11,41.395675,4.532978,0,0.000000,0,0,0.000000,,2026-08-23T09:46:24.865009882Z
2,deployment-01-r001-p01-warmup-0002,shared-root/10/forced_queue_safety,true,11,0,11,1.966883,0.361849,0,0.000000,11,1.468280,0.188705,0,0.000000,11,1.173542,0.170968,0,0.000000,11,43.768199,5.073926,0,0.000000,0,0,0.000000,,2026-08-23T09:46:28.360293097Z
3,deployment-01-r001-p01-warmup-0003,shared-root/50/natural_contention,true,51,0,51,8.200033,0.322364,0,0.000000,51,5.814055,0.173234,0,0.000000,51,5.531979,0.202568,0,0.000000,51,284.327176,64.815978,0,0.000000,0,0,0.000000,,2026-08-23T09:46:40.511332072Z
4,deployment-01-r001-p01-warmup-0004,shared-root/50/forced_queue_safety,true,51,0,51,8.062301,0.289763,0,0.000000,51,6.357061,0.253018,0,0.000000,51,6.016484,0.404069,0,0.000000,51,189.893390,5.417039,0,0.000000,0,0,0.000000,,2026-08-23T09:46:56.62588803Z
5,deployment-01-r001-p01-warmup-0005,serial-control/1/serial,true,2,0,2,0.457544,0.315710,0,0.000000,2,0.377118,0.253462,0,0.000000,2,0.205402,0.106443,0,0.000000,2,6.957627,3.510820,0,0.000000,0,0,0.000000,,2026-08-23T09:47:02.082213544Z
6,deployment-01-r001-p01-warmup-0006,shared-root/500/forced_queue_safety,true,501,0,501,78.979677,0.647889,0,0.000000,501,61.746355,0.396692,0,0.000000,501,57.978825,0.384905,0,0.000000,501,1926.948933,14.639714,0,0.000000,0,0,0.000000,,2026-08-23T09:48:51.856865378Z
7,deployment-01-r001-p01-warmup-0007,shared-root/500/natural_contention,true,501,0,501,78.366914,0.485911,0,0.000000,501,61.926759,0.685841,0,0.000000,501,51.828458,0.455906,0,0.000000,501,1886.929473,8.405566,0,0.000000,0,0,0.000000,,2026-08-23T09:54:49.878066081Z
8,deployment-01-r001-p01-warmup-0008,shared-root/100/forced_queue_safety,true,101,0,101,16.104417,0.392995,0,0.000000,101,12.435894,0.291010,0,0.000000,101,10.862692,0.277298,0,0.000000,101,460.423687,27.288071,0,0.000000,0,0,0.000000,,2026-08-23T09:59:21.967955992Z
9,deployment-01-r001-p01-warmup-0009,shared-root/100/natural_contention,true,101,0,101,15.301544,0.346569,0,0.000000,101,11.880580,0.268147,0,0.000000,101,10.642514,0.309749,0,0.000000,101,391.558064,10.410999,0,0.000000,0,0,0.000000,,2026-08-23T09:59:59.008434947Z
10,deployment-01-r001-p01-warmup-0010,shared-root/50/forced_queue_safety,true,51,0,51,8.229757,0.406995,0,0.000000,51,6.576679,0.521025,0,0.000000,51,5.748221,0.282179,0,0.000000,51,193.373713,7.361851,0,0.000000,0,0,0.000000,,2026-08-23T10:00:25.060379889Z
